iter	Passed	Remaining
0	559	1678680
1	562	843245
2	564	563752
3	565	423767
4	567	339652
5	568	283687
6	570	243994
7	572	214141
8	574	190859
9	575	172151
10	577	156855
11	579	144263
12	581	133607
13	582	124332
14	584	116311
15	586	109293
16	587	103077
17	589	97581
18	590	92629
19	591	88192
20	593	84195
21	595	80619
22	597	77287
23	599	74287
24	600	71497
25	602	68880
26	603	66461
27	604	64213
28	606	62122
29	607	60161
30	609	58350
31	610	56666
32	613	55123
33	614	53603
34	615	52175
35	617	50858
36	619	49580
37	620	48367
38	621	47215
39	623	46119
40	624	45092
41	626	44131
42	628	43215
43	629	42324
44	631	41480
45	633	40658
46	634	39857
47	635	39099
48	637	38368
49	638	37676
50	639	36995
51	641	36386
52	643	35795
53	645	35201
54	646	34631
55	648	34069
56	649	33539
57	651	33033
58	652	32532
59	653	32040
60	655	31579
61	657	31149
62	659	30722
63	660	30307
64	662	29914
65	663	29513
66	665	29140
67	667	28769
68	668	28403
69	670	28054
70	671	27704
71	673	27406
72	675	27086
73	677	26782
74	678	26474
75	680	26173
76	681	25878
77	683	25595
78	685	25328
79	686	25069
80	688	24824
81	691	24589
82	692	24338
83	694	24093
84	695	23860
85	697	23630
86	699	23421
87	701	23207
88	702	22990
89	704	22781
90	706	22591
91	708	22402
92	710	22200
93	711	21994
94	712	21802
95	714	21628
96	716	21451
97	718	21270
98	719	21095
99	721	20921
100	722	20740
101	724	20587
102	726	20424
103	727	20263
104	729	20102
105	730	19944
106	731	19791
107	733	19640
108	734	19492
109	736	19348
110	738	19232
111	740	19105
112	742	18964
113	743	18831
114	745	18707
115	747	18574
116	749	18461
117	752	18374
118	754	18265
119	756	18159
120	758	18043
121	760	17931
122	761	17813
123	763	17697
124	764	17588
125	766	17473
126	768	17383
127	772	17335
128	776	17291
129	785	17335
130	792	17359
131	802	17427
132	804	17343
133	807	17262
134	810	17199
135	813	17127
136	816	17058
137	819	16988
138	822	16937
139	825	16868
140	828	16793
141	831	16725
142	833	16659
143	837	16608
144	841	16566
145	846	16537
146	850	16513
147	854	16470
148	856	16380
149	857	16293
150	859	16210
151	861	16144
152	864	16082
153	868	16054
154	871	15994
155	874	15940
156	876	15872
157	878	15797
158	879	15717
159	881	15638
160	882	15568
161	884	15495
162	886	15423
163	887	15350
164	889	15275
165	890	15203
166	891	15129
167	893	15064
168	895	15005
169	897	14939
170	899	14876
171	901	14817
172	902	14755
173	905	14703
174	906	14627
175	907	14569
176	909	14502
177	911	14446
178	912	14382
179	913	14317
180	915	14265
181	917	14208
182	919	14149
183	920	14086
184	922	14031
185	923	13970
186	925	13915
187	926	13865
188	928	13812
189	929	13750
190	931	13703
191	933	13655
192	935	13604
193	937	13553
194	938	13501
195	940	13450
196	941	13396
197	942	13342
198	944	13291
199	946	13244
200	947	13192
201	951	13178
202	953	13141
203	955	13094
204	957	13050
205	959	13009
206	960	12960
207	962	12917
208	965	12898
209	970	12899
210	973	12870
211	976	12841
212	979	12813
213	984	12814
214	986	12780
215	988	12742
216	990	12701
217	991	12655
218	993	12610
219	995	12574
220	996	12530
221	998	12496
222	999	12452
223	1001	12414
224	1003	12379
225	1006	12350
226	1013	12385
227	1016	12358
228	1018	12320
229	1019	12279
230	1021	12244
231	1023	12212
232	1025	12177
233	1026	12135
234	1028	12097
235	1029	12058
236	1030	12018
237	1032	11976
238	1033	11934
239	1034	11897
240	1036	11860
241	1038	11831
242	1039	11791
243	1040	11757
244	1042	11727
245	1044	11693
246	1045	11657
247	1047	11621
248	1048	11586
249	1050	11552
250	1052	11523
251	1053	11493
252	1055	11460
253	1056	11426
254	1058	11392
255	1059	11357
256	1060	11322
257	1062	11288
258	1063	11253
259	1064	11222
260	1066	11190
261	1068	11167
262	1070	11142
263	1072	11116
264	1074	11092
265	1076	11062
266	1077	11032
267	1079	10999
268	1080	10970
269	1082	10944
270	1083	10914
271	1085	10887
272	1086	10857
273	1088	10825
274	1089	10797
275	1091	10769
276	1092	10739
277	1093	10708
278	1095	10679
279	1096	10651
280	1097	10620
281	1099	10594
282	1100	10567
283	1102	10539
284	1103	10511
285	1104	10483
286	1106	10455
287	1107	10426
288	1108	10399
289	1109	10370
290	1111	10344
291	1113	10322
292	1114	10297
293	1115	10269
294	1117	10243
295	1118	10219
296	1119	10192
297	1121	10170
298	1122	10143
299	1124	10117
300	1125	10093
